Upload Date,title,webpage_url,Duration,Video ID,Transcript
09/11/22,"LIVE EVENT Q&A: Dr. Andrew Huberman Question & Answer in Los Angeles, CA",https://www.youtube.com/watch?v=TO0WUTq5zYI,3817,TO0WUTq5zYI,/transcripts/TO0WUTq5zYI/TO0WUTq5zYI__transcript.txt
14/11/22,Science-Based Tools for Increasing Happiness -- Huberman Lab Podcast #98,https://www.youtube.com/watch?v=LTGGyQS1fZE,8624,LTGGyQS1fZE,/transcripts/LTGGyQS1fZE/LTGGyQS1fZE__transcript.txt
21/11/22,Dr. Chris Palmer: Diet & Nutrition for Mental Health -- Huberman Lab Podcast #99,https://www.youtube.com/watch?v=xjEFo3a1AnI,11022,xjEFo3a1AnI,/transcripts/xjEFo3a1AnI/xjEFo3a1AnI__transcript.txt
28/11/22,"Dr Lex Fridman: Navigating Conflict, Finding Purpose & Maintaining Drive -- Huberman Lab Podcast #100",https://www.youtube.com/watch?v=6I5I56uVvLw,9706,6I5I56uVvLw,/transcripts/6I5I56uVvLw/6I5I56uVvLw__transcript.txt
05/12/22,Using Caffeine to Optimize Mental & Physical Performance -- Huberman Lab Podcast 101,https://www.youtube.com/watch?v=iw97uvIge7c,8555,iw97uvIge7c,/transcripts/iw97uvIge7c/iw97uvIge7c__transcript.txt
08/12/22,"AMA #2: Improve Sleep, Reduce Sugar Cravings, Optimal Protein Intake, Stretching Frequency & More",https://www.youtube.com/watch?v=vZ4kOr38JhY,1831,vZ4kOr38JhY,/transcripts/vZ4kOr38JhY/vZ4kOr38JhY__transcript.txt
12/12/22,Dr. Kyle Gillett: Tools for Hormone Optimization in Males -- Huberman Lab Podcast 102,https://www.youtube.com/watch?v=O640yAgq5f8,8657,O640yAgq5f8,/transcripts/O640yAgq5f8/O640yAgq5f8__transcript.txt
14/12/22,"LIVE EVENT Q&A: Dr. Andrew Huberman Question & Answer in New York, NY",https://www.youtube.com/watch?v=uwWOc_RqTBA,2836,uwWOc_RqTBA,/transcripts/uwWOc_RqTBA/uwWOc_RqTBA__transcript.txt
19/12/22,The Science of Creativity & How to Enhance Creative Innovation -- Huberman Lab Podcast 103,https://www.youtube.com/watch?v=KPlJcD-o-4Q,8217,KPlJcD-o-4Q,/transcripts/KPlJcD-o-4Q/KPlJcD-o-4Q__transcript.txt
26/12/22,"Jocko Willink: How to Become Resilient, Forge Your Identity & Lead Others -- Huberman Lab Podcast 104",https://www.youtube.com/watch?v=__RAXBLt1iM,14667,__RAXBLt1iM,/transcripts/__RAXBLt1iM/__RAXBLt1iM__transcript.txt
02/01/23,"Dr. Sam Harris: Using Meditation to Focus, View Consciousness & Expand Your Mind -- Huberman Lab 105",https://www.youtube.com/watch?v=-wIt_WsJGfw,15715,#NAME?,/transcripts/-wIt_WsJGfw/-wIt_WsJGfw__transcript.txt
09/01/23,Developing a Rational Approach to Supplementation for Health & Performance -- Huberman Lab Podcast,https://www.youtube.com/watch?v=tLS6t3FVOTI,7247,tLS6t3FVOTI,/transcripts/tLS6t3FVOTI/tLS6t3FVOTI__transcript.txt
13/01/23,"AMA #3: Adaptogens, Fasting & Fertility, Bluetooth/EMF Risks, Cognitive Load Limits & More",https://www.youtube.com/watch?v=uak_dXHh6s4,1921,uak_dXHh6s4,/transcripts/uak_dXHh6s4/uak_dXHh6s4__transcript.txt
16/01/23,Rick Rubin: How to Access Your Creativity -- Huberman Lab Podcast,https://www.youtube.com/watch?v=ycOBZZeVeAc,10838,ycOBZZeVeAc,/transcripts/ycOBZZeVeAc/ycOBZZeVeAc__transcript.txt
18/01/23,Dr. Andy Galpin: How to Assess & Improve All Aspects of Your Fitness -- Huberman Lab Guest Series,https://www.youtube.com/watch?v=zEYE-vcVKy8,7277,zEYE-vcVKy8,/transcripts/zEYE-vcVKy8/zEYE-vcVKy8__transcript.txt
23/01/23,How to Optimize Fertility in Males & Females -- Huberman Lab Podcast,https://www.youtube.com/watch?v=O1YRwWmue4Y,15734,O1YRwWmue4Y,/transcripts/O1YRwWmue4Y/O1YRwWmue4Y__transcript.txt
25/01/23,Dr. Andy Galpin: Optimal Protocols to Build Strength & Grow Muscles -- Huberman Lab Guest Series,https://www.youtube.com/watch?v=CyDLbrZK75U,16763,CyDLbrZK75U,/transcripts/CyDLbrZK75U/CyDLbrZK75U__transcript.txt
30/01/23,Dr. Sara Gottfried: How to Optimize Female Hormone Health for Vitality & Longevity -- Huberman Lab,https://www.youtube.com/watch?v=GVRDGQhoEYQ,9305,GVRDGQhoEYQ,/transcripts/GVRDGQhoEYQ/GVRDGQhoEYQ__transcript.txt
01/02/23,Dr. Andy Galpin: How to Build Physical Endurance & Lose Fat -- Huberman Lab Guest Series,https://www.youtube.com/watch?v=oNkDA2F7CjM,13732,oNkDA2F7CjM,/transcripts/oNkDA2F7CjM/oNkDA2F7CjM__transcript.txt
06/02/23,How to Stop Headaches Using Science-Based Approaches -- Huberman Lab Podcast,https://www.youtube.com/watch?v=CGjdgy0cwGk,8804,CGjdgy0cwGk,/transcripts/CGjdgy0cwGk/CGjdgy0cwGk__transcript.txt
08/02/23,Dr. Andy Galpin: Optimize Your Training Program for Fitness & Longevity -- Huberman Lab Guest Series,https://www.youtube.com/watch?v=UIy-WQCZd4M,11168,UIy-WQCZd4M,/transcripts/UIy-WQCZd4M/UIy-WQCZd4M__transcript.txt
13/02/23,"Dr. Gina Poe: Use Sleep to Enhance Learning, Memory & Emotional State -- Huberman Lab Podcast",https://www.youtube.com/watch?v=BMTt8gSl13s,7541,BMTt8gSl13s,/transcripts/BMTt8gSl13s/BMTt8gSl13s__transcript.txt
15/02/23,Dr. Andy Galpin: Maximize Recovery to Achieve Fitness & Performance Goals -- Huberman Lab,https://www.youtube.com/watch?v=juD99_sPWGU,11105,juD99_sPWGU,/transcripts/juD99_sPWGU/juD99_sPWGU__transcript.txt
20/02/23,"How to Breathe Correctly for Optimal Health, Mood, Learning & Performance -- Huberman Lab Podcast",https://www.youtube.com/watch?v=x4m_PdFbu-s,8329,x4m_PdFbu-s,/transcripts/x4m_PdFbu-s/x4m_PdFbu-s__transcript.txt
22/02/23,Dr. Andy Galpin: Optimal Nutrition & Supplementation for Fitness -- Huberman Lab Guest Series,https://www.youtube.com/watch?v=q37ARYnRDGc,11133,q37ARYnRDGc,/transcripts/q37ARYnRDGc/q37ARYnRDGc__transcript.txt
24/02/23,"AMA #4: Maintain Motivation, Improve REM Sleep, Set Goals, Manage Anxiety & More",https://www.youtube.com/watch?v=S8nPJU9xkNw,1393,S8nPJU9xkNw,/transcripts/S8nPJU9xkNw/S8nPJU9xkNw__transcript.txt
27/02/23,Dr. Oded Rechavi: Genes & the Inheritance of Memories Across Generations -- Huberman Lab Podcast,https://www.youtube.com/watch?v=CDUetQMKM6g,9121,CDUetQMKM6g,/transcripts/CDUetQMKM6g/CDUetQMKM6g__transcript.txt
06/03/23,How to Optimize Your Water Quality & Intake for Health -- Huberman Lab Podcast,https://www.youtube.com/watch?v=at37Y8rKDlA,8543,at37Y8rKDlA,/transcripts/at37Y8rKDlA/at37Y8rKDlA__transcript.txt
13/03/23,"Dr. Satchin Panda: Intermittent Fasting to Improve Health, Cognition & Longevity -- Huberman Lab",https://www.youtube.com/watch?v=7R3-3HR6-u4,10146,7R3-3HR6-u4,/transcripts/7R3-3HR6-u4/7R3-3HR6-u4__transcript.txt
20/03/23,"Dr. Peter Attia: Improve Vitality, Emotional & Physical Health & Lifespan -- Huberman Lab Podcast",https://www.youtube.com/watch?v=ufsIA5NARIo,12595,ufsIA5NARIo,/transcripts/ufsIA5NARIo/ufsIA5NARIo__transcript.txt
24/03/23,"AMA #5: Intrusive Thoughts, CGMs, Behavioral Change, Naps & NSDR",https://www.youtube.com/watch?v=cp9GXl9Qk_s,1406,cp9GXl9Qk_s,/transcripts/cp9GXl9Qk_s/cp9GXl9Qk_s__transcript.txt
